Employee ID,Full Name,First Name,Middle Name,Last Name,Gender,Date of Birth,National ID,KRA PIN,SHA Number,NSSF Number,Phone Number,Email,Department,Position,Seniority Level,Hire Date,Basic Salary (KES),Bonus (KES),Gross Salary (KES),NSSF Deduction (KES),PAYE (KES),Net Salary (KES),Bank Name,Bank Account No,Leave Days Remaining,Employment Status,Title
EMP-011,Sharon Odhiambo Muthoni,Sharon,Odhiambo,Muthoni,Female,1980-07-01,28139121,A28139121H,SHA4590711152,2564689,0762401521,sharon.muthoni34@company.co.ke,Engineering,QA Engineer,Specialist,2019-07-01,65000,1000,66000,2160,11535,52305,Co-operative Bank,9544435486842,62,Active,Ms.
EMP-012,Esther Simiyu Muthama,Esther,Simiyu,Muthama,Female,1980-01-17,17304829,A17304829Z,SHA5160575046,2022698,0720752378,esther.muthama24@company.co.ke,Human Resources,HR Officer,Junior,2024-07-24,53000,1000,54000,2160,7935,43905,Standard Chartered Kenya,1880713818667,5,Active,Mrs.
EMP-013,Francis Kinyanjui Kiprotich,Francis,Kinyanjui,Kiprotich,Male,1996-11-10,29948752,A29948752P,SHA9760623742,2375453,0771367643,francis.kiprotich41@company.co.ke,Procurement,Procurement Officer,Junior,2019-06-10,45000,1000,46000,2160,5535,38305,Stanbic Bank Kenya,4591712639586,59,Active,Mr.
EMP-014,Brian Juma Njeru,Brian,Juma,Njeru,Male,1980-08-27,12458221,A12458221J,SHA3309122187,9487336,0782909480,brian.njeru91@company.co.ke,Procurement,Head of Procurement,Senior Leader,2019-02-22,167000,29000,196000,2160,50535,143305,Co-operative Bank,7141516584510,54,Active,Mr.
EMP-015,Edwin Kariuki Koskei,Edwin,Kariuki,Koskei,Male,1983-01-03,39853804,A39853804K,SHA3376077463,5569244,0795132217,edwin.koskei55@company.co.ke,Human Resources,HR Officer,Junior,2020-09-01,55000,2000,57000,2160,8835,46005,Stanbic Bank Kenya,4579180417194,48,Active,Mr.
EMP-016,Brian Kimani Limo,Brian,Kimani,Limo,Male,2000-01-12,18789760,A18789760D,SHA8325785916,1162230,0738195995,brian.limo88@company.co.ke,Human Resources,HR Specialist,Mid-level,2018-06-16,68000,1000,69000,2160,12435,54405,Equity Bank,3605123258594,52,Active,Mr.
EMP-017,Bernard Omondi Koskei,Bernard,Omondi,Koskei,Male,1998-04-09,35148295,A35148295F,SHA4993808565,3726327,0731367172,bernard.koskei90@company.co.ke,ICT,CTO,Senior Leader,2019-08-14,235000,37000,272000,2160,73335,196505,I&M Bank,4152612451898,42,Active,Mr.
EMP-018,Emmanuel Mutua Waweru,Emmanuel,Mutua,Waweru,Male,1986-11-17,37532632,A37532632X,SHA1977515194,1397023,0763643924,emmanuel.waweru87@company.co.ke,Legal,Legal Officer,Junior,2023-09-03,43000,2000,45000,2160,5235,37605,NCBA Bank,6774147444176,34,Probation,Mr.
EMP-019,Faith Gitau Koskei,Faith,Gitau,Koskei,Female,1983-01-23,18907573,A18907573M,SHA1164313410,8290770,0768526649,faith.koskei1@company.co.ke,Human Resources,HR Specialist,Mid-level,2021-06-19,58000,2000,60000,2160,9735,48105,Standard Chartered Kenya,9997888778607,57,Active,Mrs.
EMP-020,Raymond Simiyu Njoroge,Raymond,Simiyu,Njoroge,Male,1979-04-14,32259589,A32259589S,SHA4642197907,6038571,0799245317,raymond.njoroge49@company.co.ke,Marketing,Content Creator,Mid-level,2018-04-26,65000,2000,67000,2160,11835,53005,Absa Bank Kenya,8184049602121,46,Active,Mr.
EMP-021,Edwin Kinyanjui Macharia,Edwin,Kinyanjui,Macharia,Male,1996-02-10,17052560,A17052560Q,SHA8106906538,8801207,0779182797,edwin.macharia85@company.co.ke,Engineering,Software Engineer,Junior,2023-12-05,51000,1000,52000,2160,7335,42505,Family Bank,4760998180894,37,Active,Mr.
EMP-022,Mercy Musyoka Mwenda,Mercy,Musyoka,Mwenda,Female,1997-12-13,14944378,A14944378R,SHA1104906255,5107776,0776354180,mercy.mwenda52@company.co.ke,Sales,Sales Manager,Manager,2021-06-15,116000,12000,128000,2160,30135,95705,Stanbic Bank Kenya,9010426801904,57,Active,Mrs.
EMP-023,Daniel Simiyu Kimani,Daniel,Simiyu,Kimani,Male,1992-10-11,33350924,A33350924T,SHA7519578899,1842524,0769401199,daniel.kimani79@company.co.ke,Human Resources,HR Manager,Manager,2022-06-27,98000,9000,107000,2160,23835,81005,NCBA Bank,9027815107446,47,Active,Mr.
EMP-024,Njeri Omondi Muthoni,Njeri,Omondi,Muthoni,Female,1985-06-18,35225443,A35225443R,SHA8033702319,9745959,0720814950,njeri.muthoni18@company.co.ke,Legal,Compliance Officer,Mid-level,2017-08-18,57000,3000,60000,2160,9735,48105,NCBA Bank,8736415487151,55,Active,Ms.
EMP-025,Rehema Chebet Makau,Rehema,Chebet,Makau,Female,1999-10-13,21102537,A21102537B,SHA7625464411,7975534,0774019136,rehema.makau1@company.co.ke,Finance,Senior Accountant,Mid-level,2021-07-20,67000,5000,72000,2160,13335,56505,NCBA Bank,8390920989454,63,On Leave,Ms.
EMP-026,Zawadi Kinuthia Lagat,Zawadi,Kinuthia,Lagat,Female,2000-07-24,28325159,A28325159H,SHA4856070374,9191131,0732151928,zawadi.lagat60@company.co.ke,Customer Service,Team Lead,Specialist,2022-07-02,50000,1000,51000,2160,7035,41805,Absa Bank Kenya,9544561853022,42,Active,Mrs.
EMP-027,Kelvin Kamau Kariuki,Kelvin,Kamau,Kariuki,Male,1983-07-09,25492029,A25492029N,SHA1780520225,5364698,0720993268,kelvin.kariuki61@company.co.ke,ICT,IT Support,Junior,2024-11-12,45000,1000,46000,2160,5535,38305,Standard Chartered Kenya,8998138179164,9,Active,Mr.
EMP-028,Bernard Mutua Musau,Bernard,Mutua,Musau,Male,1989-12-09,31869257,A31869257V,SHA2062073697,1341919,0759512272,bernard.musau22@company.co.ke,Finance,Finance Analyst,Specialist,2021-04-29,65000,3000,68000,2160,12135,53705,Co-operative Bank,3221522634754,57,Active,Mr.
EMP-029,Peter Waweru Gitau,Peter,Waweru,Gitau,Male,1994-02-26,20467548,A20467548C,SHA6906898409,4327421,0785958181,peter.gitau6@company.co.ke,Procurement,Procurement Officer,Junior,2018-05-20,38000,1000,39000,2160,3435,33405,Stanbic Bank Kenya,5271891477802,42,Active,Mr.
EMP-030,Lydia Mugo Njoroge,Lydia,Mugo,Njoroge,Female,1983-10-26,37592846,A37592846M,SHA3105400301,8273315,0782232344,lydia.njoroge62@company.co.ke,Engineering,DevOps Engineer,Manager,2020-11-07,117000,2000,119000,2160,27435,89405,Family Bank,3691687394808,43,Active,Mrs.
EMP-031,Beatrice Musyoka Kiptoo,Beatrice,Musyoka,Kiptoo,Female,1985-05-20,18182699,A18182699L,SHA8518238399,7358385,0747080140,beatrice.kiptoo72@company.co.ke,Operations,Operations Manager,Manager,2023-12-12,121000,3000,124000,2160,28935,92905,KCB Bank,4196851593446,34,Active,Ms.
EMP-032,Joseph Musyoka Mutuku,Joseph,Musyoka,Mutuku,Male,1993-06-16,35439784,A35439784A,SHA8352307139,8519121,0784285882,joseph.mutuku68@company.co.ke,ICT,Network Engineer,Mid-level,2018-06-08,67000,4000,71000,2160,13035,55805,Equity Bank,4896799069669,42,Active,Mr.
EMP-033,Doris Juma Kinuthia,Doris,Juma,Kinuthia,Female,1998-10-25,34202286,A34202286Z,SHA6122110529,3005795,0780415568,doris.kinuthia77@company.co.ke,Operations,Operations Officer,Junior,2020-06-06,41000,0,41000,2160,4035,34805,DTB Bank,4258549440264,55,Active,Mrs.
EMP-034,Michael Nyambura Kimani,Michael,Nyambura,Kimani,Male,1975-10-10,10474740,A10474740B,SHA5838636972,1763626,0773001391,michael.kimani62@company.co.ke,Marketing,Marketing Officer,Junior,2020-07-03,55000,2000,57000,2160,8835,46005,DTB Bank,3224552926053,60,Active,Mr.
EMP-035,Eric Muthoni Ngetich,Eric,Muthoni,Ngetich,Male,1978-09-25,12192561,A12192561U,SHA7015992643,2242892,0765857931,eric.ngetich78@company.co.ke,Legal,Legal Officer,Junior,2015-12-15,53000,3000,56000,2160,8535,45305,KCB Bank,3624876680403,56,Active,Mr.
EMP-036,Geoffrey Barasa Muthoni,Geoffrey,Barasa,Muthoni,Male,1975-07-15,24389141,A24389141G,SHA3667292043,2664863,0789699989,geoffrey.muthoni61@company.co.ke,Operations,Operations Manager,Manager,2015-11-04,105000,2000,107000,2160,23835,81005,NCBA Bank,3762012668852,58,Active,Mr.
EMP-037,Collins Nyambura Muthama,Collins,Nyambura,Muthama,Male,1977-01-06,17832403,A17832403P,SHA9263135031,4318855,0751286958,collins.muthama77@company.co.ke,Legal,Legal Officer,Junior,2017-12-24,55000,0,55000,2160,8235,44605,Equity Bank,4953708789941,59,Active,Mr.
EMP-038,Irene Gitau Nyambura,Irene,Gitau,Nyambura,Female,1993-01-25,26793059,A26793059C,SHA7614170462,8344375,0746173157,irene.nyambura74@company.co.ke,ICT,IT Manager,Manager,2022-07-24,95000,3000,98000,2160,21135,74705,Stanbic Bank Kenya,1452046888046,45,Active,Mrs.
EMP-039,Emmanuel Ali Musau,Emmanuel,Ali,Musau,Male,1985-07-23,16089765,A16089765R,SHA8792122716,2530793,0776500726,emmanuel.musau37@company.co.ke,Legal,Senior Counsel,Manager,2024-08-14,110000,9000,119000,2160,27435,89405,Standard Chartered Kenya,6864384200766,16,Active,Mr.
EMP-040,Njeri Omondi Mwangi,Njeri,Omondi,Mwangi,Female,1999-08-21,20847268,A20847268A,SHA8613035386,9633492,0769329732,njeri.mwangi98@company.co.ke,Finance,Accountant,Junior,2019-01-21,36000,0,36000,2160,2535,31305,DTB Bank,8269068838141,44,Active,Mrs.
EMP-041,Agnes Kiprotich Wekesa,Agnes,Kiprotich,Wekesa,Female,1979-08-23,31140039,A31140039T,SHA5975196341,1229419,0749172995,agnes.wekesa66@company.co.ke,Legal,Legal Officer,Junior,2016-04-26,38000,1000,39000,2160,3435,33405,I&M Bank,4951770242815,43,Active,Mrs.
EMP-042,Njeri Hassan Ndungu,Njeri,Hassan,Ndungu,Female,1996-08-28,22871010,A22871010L,SHA5594799319,7961578,0729944139,njeri.ndungu58@company.co.ke,Legal,Compliance Officer,Mid-level,2021-08-01,78000,2000,80000,2160,15735,62105,DTB Bank,5973583146473,45,Active,Ms.
EMP-043,Beatrice Omondi Mbatha,Beatrice,Omondi,Mbatha,Female,1987-11-26,39178990,A39178990H,SHA3995732958,7425184,0797512508,beatrice.mbatha20@company.co.ke,Legal,Senior Counsel,Manager,2024-02-06,137000,8000,145000,2160,35235,107605,I&M Bank,6596529850410,30,Active,Mrs.
EMP-044,James Omar Gacheru,James,Omar,Gacheru,Male,2000-05-11,39332961,A39332961S,SHA8924383984,2672884,0793652460,james.gacheru89@company.co.ke,Marketing,Marketing Manager,Manager,2015-11-03,131000,15000,146000,2160,35535,108305,Family Bank,8211869232782,48,Active,Mr.
EMP-045,Martin Mohamed Ogolla,Martin,Mohamed,Ogolla,Male,1989-03-23,39777500,A39777500V,SHA8556573246,1602286,0750193656,martin.ogolla4@company.co.ke,Marketing,Content Creator,Mid-level,2022-11-23,58000,4000,62000,2160,10335,49505,Equity Bank,8632545061277,60,Active,Mr.
EMP-046,Collins Njenga Omondi,Collins,Njenga,Omondi,Male,1979-04-15,27822984,A27822984C,SHA1773338452,3937176,0795618110,collins.omondi33@company.co.ke,ICT,IT Support,Junior,2020-07-31,54000,2000,56000,2160,8535,45305,Stanbic Bank Kenya,7729659013135,45,Active,Mr.
EMP-047,Isaac Nyambura Mwenda,Isaac,Nyambura,Mwenda,Male,1990-02-08,24821991,A24821991W,SHA9354723429,6018975,0761185849,isaac.mwenda74@company.co.ke,Customer Service,Customer Rep,Junior,2017-03-26,49000,2000,51000,2160,7035,41805,I&M Bank,5401011385071,51,Active,Mr.
EMP-048,Rehema Nyambura Otieno,Rehema,Nyambura,Otieno,Female,1976-05-26,39026845,A39026845H,SHA4431078106,6910964,0769166287,rehema.otieno5@company.co.ke,Operations,Operations Officer,Junior,2022-01-14,39000,1000,40000,2160,3735,34105,NCBA Bank,5409303152958,43,Active,Mrs.
EMP-049,Joseph Nyambura Barasa,Joseph,Nyambura,Barasa,Male,1996-12-22,14434546,A14434546K,SHA6001680218,9084065,0763339667,joseph.barasa72@company.co.ke,ICT,IT Support,Junior,2016-07-30,49000,2000,51000,2160,7035,41805,Standard Chartered Kenya,3026383748892,56,Active,Mr.
EMP-050,Faith Muthoni Mbugua,Faith,Muthoni,Mbugua,Female,1994-04-21,35132658,A35132658W,SHA8182649048,7392547,0718484847,faith.mbugua82@company.co.ke,Legal,Compliance Officer,Mid-level,2021-04-18,55000,3000,58000,2160,9135,46705,Standard Chartered Kenya,9294586106014,53,Active,Ms.
EMP-051,Naomi Wekesa Kiprotich,Naomi,Wekesa,Kiprotich,Female,1988-10-24,20212780,A20212780D,SHA9572442790,2948178,0730739712,naomi.kiprotich54@company.co.ke,Engineering,DevOps Engineer,Manager,2023-05-02,119000,5000,124000,2160,28935,92905,NCBA Bank,7833875640590,25,Active,Ms.
EMP-052,Stella Wekesa Kinuthia,Stella,Wekesa,Kinuthia,Female,1977-11-07,24921516,A24921516D,SHA5082603360,7084862,0796128115,stella.kinuthia82@company.co.ke,Marketing,Marketing Officer,Junior,2016-05-15,47000,1000,48000,2160,6135,39705,Standard Chartered Kenya,2066692381848,49,Active,Ms.
EMP-053,Eric Kimani Njenga,Eric,Kimani,Njenga,Male,2000-03-04,16885556,A16885556E,SHA4735313433,6512314,0798725654,eric.njenga4@company.co.ke,Human Resources,Recruitment Officer,Specialist,2021-01-21,54000,4000,58000,2160,9135,46705,Stanbic Bank Kenya,5874800059555,55,Active,Mr.
EMP-054,Wanjiku Musyoka Gacheru,Wanjiku,Musyoka,Gacheru,Female,1998-11-17,11758219,A11758219M,SHA5567946981,8520810,0750484137,wanjiku.gacheru59@company.co.ke,Engineering,Software Engineer,Junior,2021-11-24,49000,1000,50000,2160,6735,41105,DTB Bank,2918105190148,62,Active,Mrs.
EMP-055,Eric Hassan Lagat,Eric,Hassan,Lagat,Male,1993-09-23,13622597,A13622597C,SHA9202102595,2232969,0753645651,eric.lagat49@company.co.ke,ICT,Network Engineer,Mid-level,2022-01-01,57000,1000,58000,2160,9135,46705,Standard Chartered Kenya,3609657766229,43,Probation,Mr.
EMP-056,Irene Omar Muriuki,Irene,Omar,Muriuki,Female,1985-11-09,13839099,A13839099H,SHA6218484323,8575834,0760237832,irene.muriuki20@company.co.ke,Finance,Finance Analyst,Specialist,2018-07-04,63000,3000,66000,2160,11535,52305,I&M Bank,8015629357321,50,Active,Mrs.
EMP-057,Mercy Njoroge Kiptoo,Mercy,Njoroge,Kiptoo,Female,1998-01-10,34984259,A34984259T,SHA8468071953,3182975,0790585678,mercy.kiptoo40@company.co.ke,Finance,Senior Accountant,Mid-level,2023-06-01,66000,5000,71000,2160,13035,55805,KCB Bank,8224659971233,29,Active,Ms.
EMP-058,John Hassan Kimani,John,Hassan,Kimani,Male,1994-11-21,28665172,A28665172U,SHA2578662692,5673599,0784724345,john.kimani4@company.co.ke,Finance,Senior Accountant,Mid-level,2023-08-10,82000,4000,86000,2160,17535,66305,NCBA Bank,8549724528460,23,Active,Mr.
EMP-059,Faith Adhiambo Kinuthia,Faith,Adhiambo,Kinuthia,Female,1988-08-11,16086960,A16086960C,SHA4736031885,7724045,0731127115,faith.kinuthia48@company.co.ke,Marketing,Content Creator,Mid-level,2017-05-31,57000,3000,60000,2160,9735,48105,Co-operative Bank,1541044805550,51,Active,Mrs.
EMP-060,Zawadi Njoroge Koskei,Zawadi,Njoroge,Koskei,Female,1981-09-04,30731209,A30731209J,SHA9803662851,2368710,0756328316,zawadi.koskei56@company.co.ke,Human Resources,HR Officer,Junior,2019-08-24,50000,2000,52000,2160,7335,42505,Family Bank,8458906230905,55,Active,Ms.
EMP-061,Judith Waweru Mwangi,Judith,Waweru,Mwangi,Female,1998-07-06,11838177,A11838177G,SHA1033015788,6056977,0727339011,judith.mwangi49@company.co.ke,ICT,CTO,Senior Leader,2015-02-01,224000,15000,239000,2160,63435,173405,Co-operative Bank,5495817837679,48,Active,Ms.
EMP-062,Bernard Odhiambo Odundo,Bernard,Odhiambo,Odundo,Male,1987-01-11,25426792,A25426792U,SHA4956362540,6252285,0733068427,bernard.odundo80@company.co.ke,Engineering,Senior Software Engineer,Mid-level,2018-03-31,77000,4000,81000,2160,16035,62805,I&M Bank,8114928575066,60,Active,Mr.
EMP-063,Mercy Simiyu Lagat,Mercy,Simiyu,Lagat,Female,1978-09-17,23436866,A23436866K,SHA3250402001,7639863,0736025314,mercy.lagat45@company.co.ke,Sales,Senior Sales Rep,Mid-level,2020-09-21,79000,1000,80000,2160,15735,62105,Standard Chartered Kenya,6859287036494,43,Active,Ms.
EMP-064,Francis Kariuki Akinyi,Francis,Kariuki,Akinyi,Male,1990-08-21,30213155,A30213155Q,SHA1323639855,9289908,0750643870,francis.akinyi36@company.co.ke,Operations,Operations Officer,Junior,2019-12-07,55000,1000,56000,2160,8535,45305,Stanbic Bank Kenya,6684924033223,61,Active,Mr.
EMP-065,Judith Odhiambo Simiyu,Judith,Odhiambo,Simiyu,Female,1989-10-21,22372780,A22372780W,SHA8867077130,2287332,0735265073,judith.simiyu42@company.co.ke,Legal,Legal Officer,Junior,2023-11-18,49000,1000,50000,2160,6735,41105,Equity Bank,7762456363602,41,Active,Mrs.
EMP-066,Eric Barasa Gitau,Eric,Barasa,Gitau,Male,1986-05-13,12829616,A12829616Y,SHA1741134891,5156449,0764864099,eric.gitau44@company.co.ke,Marketing,Head of Marketing,Senior Leader,2016-10-12,284000,30000,314000,2160,85935,225905,Family Bank,8730902418078,52,Active,Mr.
EMP-067,Martin Odhiambo Juma,Martin,Odhiambo,Juma,Male,1979-10-23,22970942,A22970942L,SHA6515369278,3522845,0721370793,martin.juma40@company.co.ke,Finance,Senior Accountant,Mid-level,2022-06-05,85000,4000,89000,2160,18435,68405,Equity Bank,6456110934764,51,Active,Mr.
EMP-068,Njeri Kiprotich Kivuva,Njeri,Kiprotich,Kivuva,Female,1984-02-17,10611715,A10611715G,SHA6852312425,4024309,0782446804,njeri.kivuva95@company.co.ke,ICT,Network Engineer,Mid-level,2016-09-26,62000,5000,67000,2160,11835,53005,Standard Chartered Kenya,4377932812366,61,Active,Ms.
EMP-069,Martin Kiprotich Muriuki,Martin,Kiprotich,Muriuki,Male,1982-09-08,16068183,A16068183M,SHA2879792991,7893063,0751536077,martin.muriuki61@company.co.ke,ICT,IT Support,Junior,2023-05-25,54000,1000,55000,2160,8235,44605,NCBA Bank,8816709862769,28,Active,Mr.
EMP-070,Raymond Barasa Nyambura,Raymond,Barasa,Nyambura,Male,1978-12-28,26874748,A26874748G,SHA7560389844,3718884,0779244185,raymond.nyambura16@company.co.ke,Operations,Operations Analyst,Specialist,2019-03-01,70000,2000,72000,2160,13335,56505,Stanbic Bank Kenya,1915901789680,46,Active,Mr.
EMP-071,Victor Barasa Gitahi,Victor,Barasa,Gitahi,Male,1975-06-04,13077396,A13077396N,SHA5409514899,1893502,0797236246,victor.gitahi43@company.co.ke,Human Resources,HR Manager,Manager,2019-03-16,114000,14000,128000,2160,30135,95705,DTB Bank,5146249593009,56,Active,Mr.
EMP-072,Dennis Nyambura Kiptoo,Dennis,Nyambura,Kiptoo,Male,1991-07-04,14657109,A14657109C,SHA7309779967,1088100,0748668339,dennis.kiptoo31@company.co.ke,Legal,Legal Counsel,Specialist,2023-02-26,54000,2000,56000,2160,8535,45305,KCB Bank,4793555307267,44,Active,Mr.
EMP-073,Francis Wekesa Kitheka,Francis,Wekesa,Kitheka,Male,1982-10-14,13719773,A13719773U,SHA3302333490,9646569,0735140847,francis.kitheka86@company.co.ke,Procurement,Senior Procurement Officer,Mid-level,2021-11-23,64000,2000,66000,2160,11535,52305,NCBA Bank,3528526894450,52,Active,Mr.
EMP-074,Mercy Ali Mbugua,Mercy,Ali,Mbugua,Female,1999-10-24,11460772,A11460772J,SHA8025152555,7262974,0754629892,mercy.mbugua18@company.co.ke,ICT,IT Manager,Manager,2022-01-17,105000,9000,114000,2160,25935,85905,KCB Bank,7064783988039,60,Active,Ms.
EMP-075,Njeri Adhiambo Kiptoo,Njeri,Adhiambo,Kiptoo,Female,1984-09-13,37229343,A37229343B,SHA1579187439,8678589,0782884346,njeri.kiptoo61@company.co.ke,Legal,Compliance Officer,Mid-level,2015-06-21,80000,1000,81000,2160,16035,62805,Absa Bank Kenya,1769664972712,53,Active,Mrs.
EMP-076,Collins Njenga Ngetich,Collins,Njenga,Ngetich,Male,1997-08-12,21137544,A21137544P,SHA2173456409,7174337,0779696025,collins.ngetich35@company.co.ke,Engineering,DevOps Engineer,Manager,2017-02-04,114000,5000,119000,2160,27435,89405,I&M Bank,8738428582380,48,Active,Mr.
EMP-077,Mercy Simiyu Muriuki,Mercy,Simiyu,Muriuki,Female,1994-07-09,13442614,A13442614K,SHA5638860656,5960015,0795828117,mercy.muriuki8@company.co.ke,Customer Service,Customer Rep,Junior,2015-06-23,49000,1000,50000,2160,6735,41105,Family Bank,3930997850479,52,Active,Ms.
EMP-078,Doris Omar Koech,Doris,Omar,Koech,Female,1979-11-15,30386763,A30386763C,SHA2881937953,3117788,0759790013,doris.koech48@company.co.ke,Engineering,Software Engineer,Junior,2015-05-13,47000,2000,49000,2160,6435,40405,NCBA Bank,7371009868774,44,Active,Ms.
EMP-079,James Ali Omondi,James,Ali,Omondi,Male,1981-10-10,19351276,A19351276R,SHA1487258103,4121368,0775927774,james.omondi26@company.co.ke,ICT,IT Support,Junior,2022-11-23,43000,2000,45000,2160,5235,37605,DTB Bank,3072586602603,49,Active,Mr.
EMP-080,Moses Adhiambo Makau,Moses,Adhiambo,Makau,Male,2000-03-08,37196310,A37196310K,SHA9868845806,5871470,0776306502,moses.makau4@company.co.ke,Legal,Head of Legal,Senior Leader,2016-05-12,242000,25000,267000,2160,71835,193005,Co-operative Bank,4065050582792,57,Active,Mr.
EMP-081,Irene Omondi Cheruiyot,Irene,Omondi,Cheruiyot,Female,1996-09-12,34056299,A34056299P,SHA8382488970,9819709,0727224779,irene.cheruiyot71@company.co.ke,Finance,Accountant,Junior,2020-01-18,45000,1000,46000,2160,5535,38305,I&M Bank,3203634979750,49,Active,Ms.
EMP-082,James Simiyu Gitahi,James,Simiyu,Gitahi,Male,1983-04-21,27384622,A27384622F,SHA5952163720,3762487,0783932683,james.gitahi36@company.co.ke,Engineering,DevOps Engineer,Manager,2024-06-26,123000,13000,136000,2160,32535,101305,Standard Chartered Kenya,7086937045938,19,Active,Mr.
EMP-083,Stella Mohamed Kariuki,Stella,Mohamed,Kariuki,Female,1992-05-21,15173901,A15173901B,SHA4709911999,2362693,0750546385,stella.kariuki62@company.co.ke,Procurement,Head of Procurement,Manager,2020-08-01,129000,10000,139000,2160,33435,103405,Stanbic Bank Kenya,8329671517556,43,Active,Ms.
EMP-084,Esther Juma Njoroge,Esther,Juma,Njoroge,Female,1979-06-17,26248771,A26248771V,SHA2994763896,6707484,0785383550,esther.njoroge14@company.co.ke,Human Resources,HR Specialist,Mid-level,2018-11-15,78000,6000,84000,2160,16935,64905,Co-operative Bank,6616607600972,51,Active,Ms.
EMP-085,Joy Wairimu Muthoni,Joy,Wairimu,Muthoni,Female,1990-09-15,19737898,A19737898H,SHA9355364489,8015136,0776942394,joy.muthoni40@company.co.ke,Human Resources,HR Officer,Junior,2017-02-16,53000,2000,55000,2160,8235,44605,Co-operative Bank,6763045004679,58,Active,Ms.
EMP-086,Kelvin Omar Nyambura,Kelvin,Omar,Nyambura,Male,1979-05-24,21841194,A21841194R,SHA1208985103,5720376,0759093843,kelvin.nyambura98@company.co.ke,Sales,Sales Representative,Junior,2016-03-16,52000,0,52000,2160,7335,42505,Stanbic Bank Kenya,6027132891456,50,Active,Mr.
EMP-087,Kelvin Mwangi Kuria,Kelvin,Mwangi,Kuria,Male,1992-06-25,28563081,A28563081S,SHA2239534867,7481857,0729363237,kelvin.kuria26@company.co.ke,Customer Service,Customer Rep,Junior,2023-11-30,38000,1000,39000,2160,3435,33405,Family Bank,3263958054440,32,Active,Mr.
